all_spec,Freq,prop_events
American Bullfrog,1,0.008
American Crow,1,0.008
American Goldfinch,40,0.32
American Robin,1,0.008
American Tree Sparrow,2,0.016
Beaver,1,0.008
Black-capped Chickadee,1,0.008
Blue Jay,4,0.032
Brown Creeper,1,0.008
Brown-headed Cowbird,17,0.136
Cedar Waxwing,1,0.008
Chipping Sparrow,1,0.008
Common Redpoll,13,0.104
Dark-eyed Junco,2,0.016
Domestic Cat,3,0.024
Downy Woodpecker,1,0.008
European Starling,3,0.024
Evening Grosbeak,7,0.056
Fox Sparrow,1,0.008
Hermit Thrush,1,0.008
House Finch,7,0.056
House Sparrow,27,0.216
Mourning Dove,3,0.024
Muskrat,1,0.008
Northern Cardinal,35,0.28
Northern Mockingbird,2,0.016
Painted Turtle,1,0.008
Pine Grosbeak,2,0.016
Pine Siskin,48,0.384
Purple Finch,8,0.064
Red Crossbill,3,0.024
Red-bellied Woodpecker,2,0.016
Red-headed Woodpecker,1,0.008
Red-winged Blackbird,8,0.064
Unidentified Avian,7,0.056
Unidentified Blackbird/Icterid,1,0.008
Unidentified Finch,2,0.016
Unidentified Grackle,1,0.008
Unidentified Passerine,10,0.08
Unidentified Pigeon,1,0.008
Unidentified Sparrow,6,0.048
Unidentified Water Snake,1,0.008
Unidentified Woodpecker,1,0.008
Virginia Opossum,1,0.008
White-throated Sparrow,4,0.032
